t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,speed_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy,deadzone_px,err_x_px,err_y_px,err_mag_px,err_x_norm,err_y_norm,err_mag_norm
0.002,133.8,136.2,0,0,0,0,0,1,1176,475,80,536,115,548.198,0.8375,0.319444,0.896354
0.0213,132.6,136.2,0,0,0,0,0,1,950,357,80,310,-3,310.015,0.484375,-0.008333,0.484447
0.0752,131.4,136.2,-22.262,0,22.262,-412.993,0,1,952,358,80,312,-2,312.006,0.4875,-0.005556,0.487532
0.143,130.2,136.2,-17.716,0,17.716,67.113,0,1,947,359,80,307,-1,307.002,0.479687,-0.002778,0.479696
0.2064,129,136.2,-18.913,0,18.913,-18.859,0,1,886,358,80,246,-2,246.008,0.384375,-0.005556,0.384415
0.2609,127.8,136.2,-22.005,0,22.005,-56.705,0,1,861,358,80,221,-2,221.009,0.345313,-0.005556,0.345357
0.3388,126.6,136.2,-15.422,0,15.422,84.6,0,1,847,358,80,207,-2,207.01,0.323437,-0.005556,0.323485
0.3886,125.4,136.2,-24.07,0,24.07,-173.462,0,1,825,358,80,185,-2,185.011,0.289062,-0.005556,0.289116
0.445,124.2,136.2,-21.293,0,21.293,49.282,0,1,808,358,80,168,-2,168.012,0.2625,-0.005556,0.262559
0.5038,123,136.2,-20.398,0,20.398,15.201,0,1,780,359,80,140,-1,140.004,0.21875,-0.002778,0.218768
0.5518,121.8,136.2,-24.986,0,24.986,-95.535,0,1,749,359,80,109,-1,109.005,0.170313,-0.002778,0.170335
0.5999,120.6,136.2,-24.958,0,24.958,0.6,0,1,727,358,80,87,-2,87.023,0.135937,-0.005556,0.136051
0.6486,120.6,136.2,0,0,0,512.838,0,1,717,358,80,77,-2,77.026,0.120313,-0.005556,0.120441
0.6986,120.6,136.2,0,0,0,0,0,1,715,359,80,75,-1,75.007,0.117188,-0.002778,0.11722
0.748,120.6,136.2,0,0,0,0,0,1,716,359,80,76,-1,76.007,0.11875,-0.002778,0.118782
0.7974,120.6,136.2,0,0,0,0,0,1,717,358,80,77,-2,77.026,0.120313,-0.005556,0.120441
0.8464,120.6,136.2,0,0,0,0,0,1,718,359,80,78,-1,78.006,0.121875,-0.002778,0.121907
0.8964,120.6,136.2,0,0,0,0,0,1,718,358,80,78,-2,78.026,0.121875,-0.005556,0.122002
0.9474,120.6,136.2,0,0,0,0,0,1,716,359,80,76,-1,76.007,0.11875,-0.002778,0.118782
0.9976,120.6,136.2,0,0,0,0,0,1,717,359,80,77,-1,77.006,0.120313,-0.002778,0.120345
1.0469,120.6,136.2,0,0,0,0,0,1,715,359,80,75,-1,75.007,0.117188,-0.002778,0.11722
1.0979,120.6,136.2,0,0,0,0,0,1,713,359,80,73,-1,73.007,0.114062,-0.002778,0.114096
1.1459,120.6,136.2,0,0,0,0,0,1,715,358,80,75,-2,75.027,0.117188,-0.005556,0.117319
