t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy
0.0019,135,135,0,0,0,0,0,,
0.0065,133.8,135,-10.559,0,-92.909,0,1,980,357
0.1201,132.6,135,-16.382,0,-79.495,0,1,980,357
0.1245,132.6,133.8,0,-18.862,0,-296.485,1,494,373
0.173,132.6,133.8,0,0,0,0,1,561,366
0.221,132.6,133.8,0,0,0,0,1,568,362
0.2709,132.6,133.8,0,0,0,0,1,592,372
0.322,132.6,133.8,0,0,0,0,1,593,370
0.3719,132.6,133.8,0,0,0,0,1,601,369
0.4218,132.6,133.8,0,0,0,0,1,604,368
0.4717,132.6,133.8,0,0,0,0,1,613,370
0.5196,132.6,133.8,0,0,0,0,1,619,363
0.5723,132.6,133.8,0,0,0,0,2,630,359
0.6219,132.6,133.8,0,0,0,0,2,637,359
0.675,132.6,133.8,0,0,0,0,2,654,357
0.7228,132.6,133.8,0,0,0,0,2,666,358
0.7723,132.6,133.8,0,0,0,0,2,672,357
0.8219,132.6,133.8,0,0,0,0,2,671,357
0.8716,132.6,133.8,0,0,0,0,2,692,354
0.9215,132.6,133.8,0,0,0,0,2,687,356
0.9712,132.6,133.8,0,0,0,0,2,701,359
1.0211,132.6,133.8,0,0,0,0,2,709,360
1.0709,132.6,133.8,0,0,0,0,2,700,360
1.1208,132.6,133.8,0,0,0,0,2,718,360
1.1706,132.6,133.8,0,0,0,0,2,703,359
1.2184,132.6,133.8,0,0,0,0,2,710,360
1.2687,132.6,133.8,0,0,0,0,2,704,359
1.3191,132.6,133.8,0,0,0,0,2,703,359
1.37,132.6,133.8,0,0,0,0,2,698,359
1.4198,132.6,133.8,0,0,0,0,2,697,358
1.4696,132.6,133.8,0,0,0,0,2,696,358
1.5206,132.6,133.8,0,0,0,0,2,699,358
1.5715,132.6,133.8,0,0,0,0,3,707,357
1.6193,132.6,133.8,0,0,0,0,3,711,359
1.6688,132.6,133.8,0,0,0,0,3,715,360
1.7192,132.6,133.8,0,0,0,0,3,725,360
1.7704,132.6,133.8,0,0,0,0,3,737,358
1.8214,132.6,133.8,0,0,0,0,3,744,358
1.8742,132.6,133.8,0,0,0,0,3,759,360
