t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,speed_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy,deadzone_px,target_motion_px,target_motion_filt_px,err_x_px,err_y_px,err_mag_px,err_x_norm,err_y_norm,err_mag_norm
0.0011,134,135,0,0,0,0,0,1,934,367,20,0,0,294,7,294.083,0.459375,0.019444,0.459786
0.0099,133,135,0,0,0,0,0,1,940,357,20,11.662,3.499,300,-3,300.015,0.46875,-0.008333,0.468824
0.0627,132,135,-18.947,0,18.947,-358.987,0,1,937,354,20,4.243,3.722,297,-6,297.061,0.464062,-0.016667,0.464362
0.125,131,135,-16.028,0,16.028,46.79,0,1,938,369,20,15.033,7.115,298,9,298.136,0.465625,0.025,0.466296
0.1763,130,135,-19.514,0,19.514,-68.023,0,1,939,363,20,6.083,6.805,299,3,299.015,0.467187,0.008333,0.467262
0.2362,129,135,-16.685,0,16.685,47.201,0,1,933,355,20,10,7.764,293,-5,293.043,0.457813,-0.013889,0.458023
0.3003,128,135,-15.603,0,15.603,16.882,0,1,892,360,20,41.304,17.826,252,0,252,0.39375,0,0.39375
0.363,127,135,-15.949,0,15.949,-5.532,0,1,837,360,20,55,28.978,197,0,197,0.307812,0,0.307812
0.4206,126,135,-17.356,0,17.356,-24.417,0,1,820,355,20,17.72,25.601,180,-5,180.069,0.28125,-0.013889,0.281593
0.473,125,135,-19.089,0,19.089,-33.071,0,1,823,360,20,5.831,19.67,183,0,183,0.285938,0,0.285938
0.5236,124,135,-19.771,0,19.771,-13.5,0,1,820,356,20,5,15.269,180,-4,180.044,0.28125,-0.011111,0.281469
0.5765,123,135,-18.889,0,18.889,16.666,0,1,780,358,20,40.05,22.703,140,-2,140.014,0.21875,-0.005556,0.218821
0.628,122,135,-19.447,0,19.447,-10.855,0,1,726,360,20,54.037,32.103,86,0,86,0.134375,0,0.134375
0.6761,121,135,-20.788,0,20.788,-27.873,0,1,704,363,20,22.204,29.133,64,3,64.07,0.1,0.008333,0.100347
0.7268,120,135,-19.695,0,19.695,21.525,0,1,701,356,20,7.616,22.678,61,-4,61.131,0.095312,-0.011111,0.095958
0.7778,119,135,-19.606,0,19.606,1.76,0,1,686,356,20,15,20.375,46,-4,46.174,0.071875,-0.011111,0.072729
0.829,119,135,0,0,0,383.29,0,1,656,367,20,31.953,23.848,16,7,17.464,0.025,0.019444,0.031672
0.8789,119,135,0,0,0,0,0,1,653,364,20,4.243,17.967,13,4,13.601,0.020313,0.011111,0.023153
0.9301,119,135,0,0,0,0,0,1,655,366,20,2.828,13.425,15,6,16.155,0.023438,0.016667,0.028759
0.9794,119,135,0,0,0,0,0,1,635,362,20,20.396,15.516,-5,2,5.385,-0.007812,0.005556,0.009586
1.0291,119,135,0,0,0,0,0,1,621,364,20,14.142,15.104,-19,4,19.416,-0.029687,0.011111,0.031699
1.0765,119,135,0,0,0,0,0,1,622,360,20,4.123,11.81,-18,0,18,-0.028125,0,0.028125
1.1238,119,135,0,0,0,0,0,1,623,365,20,5.099,9.797,-17,5,17.72,-0.026562,0.013889,0.029974
1.1734,119,135,0,0,0,0,0,1,621,363,22.939,2.828,7.706,-19,3,19.235,-0.029687,0.008333,0.030835
1.2233,119,135,0,0,0,0,0,1,622,359,33.688,4.123,6.631,-18,-1,18.028,-0.028125,-0.002778,0.028262
1.2753,119,135,0,0,0,0,0,1,623,364,38.284,5.099,6.172,-17,4,17.464,-0.026562,0.011111,0.028793
1.3237,119,135,0,0,0,0,0,1,626,359,39.306,5.831,6.069,-14,-1,14.036,-0.021875,-0.002778,0.022051
1.373,119,135,0,0,0,0,0,1,621,358,42.217,5.099,5.778,-19,-2,19.105,-0.029687,-0.005556,0.030203
1.4214,119,135,0,0,0,0,0,1,621,359,56.552,1,4.345,-19,-1,19.026,-0.029687,-0.002778,0.029817
1.4734,119,135,0,0,0,0,0,1,623,361,61.101,2.828,3.89,-17,1,17.029,-0.026562,0.002778,0.026707
1.5246,119,135,0,0,0,0,0,1,621,363,64.286,2.828,3.571,-19,3,19.235,-0.029687,0.008333,0.030835
1.5726,119,135,0,0,0,0,0,1,622,365,68.292,2.236,3.171,-18,5,18.682,-0.028125,0.013889,0.031367
1.6267,119,135,0,0,0,0,0,1,625,362,65.076,4.243,3.492,-15,2,15.133,-0.023438,0.005556,0.024087
1.6755,119,135,0,0,0,0,0,1,623,361,68.845,2.236,3.115,-17,1,17.029,-0.026562,0.002778,0.026707
1.7238,119,135,0,0,0,0,0,1,622,358,68.705,3.162,3.13,-18,-2,18.111,-0.028125,-0.005556,0.028668
1.7745,119,135,0,0,0,0,0,1,620,359,71.385,2.236,2.861,-20,-1,20.025,-0.03125,-0.002778,0.031373
1.8223,119,135,0,0,0,0,0,1,620,360,76.97,1,2.303,-20,0,20,-0.03125,0,0.03125
1.8754,119,135,0,0,0,0,0,1,622,363,73.062,3.606,2.694,-18,3,18.248,-0.028125,0.008333,0.029334
1.9249,119,135,0,0,0,0,0,1,623,360,71.657,3.162,2.834,-17,0,17,-0.026562,0,0.026562
1.9745,119,135,0,0,0,0,0,1,622,359,75.917,1.414,2.408,-18,-1,18.028,-0.028125,-0.002778,0.028262
2.0276,119,135,0,0,0,0,0,1,628,362,63.017,6.708,3.698,-12,2,12.166,-0.01875,0.005556,0.019556
2.0765,119,135,0,0,0,0,0,1,627,364,67.404,2.236,3.26,-13,4,13.601,-0.020313,0.011111,0.023153
2.1266,119,135,0,0,0,0,0,1,622,360,57.973,6.403,4.203,-18,0,18,-0.028125,0,0.028125
2.1753,119,135,0,0,0,0,0,1,623,362,63.873,2.236,3.613,-17,2,17.117,-0.026562,0.005556,0.027137
2.2274,119,135,0,0,0,0,0,1,622,358,62.342,4.123,3.766,-18,-2,18.111,-0.028125,-0.005556,0.028668
2.2762,119,135,0,0,0,0,0,1,623,358,70.639,1,2.936,-17,-2,17.117,-0.026562,-0.005556,0.027137
2.3276,119,135,0,0,0,0,0,1,620,358,70.448,3,2.955,-20,-2,20.1,-0.03125,-0.005556,0.03174
2.3755,119,135,0,0,0,0,0,1,620,359,76.313,1,2.369,-20,-1,20.025,-0.03125,-0.002778,0.031373
2.4249,119,135,0,0,0,0,0,1,617,358,73.932,3.162,2.607,-23,-2,23.087,-0.035937,-0.005556,0.036364
2.4742,119,135,0,0,0,0,0,1,616,359,77.51,1.414,2.249,-24,-1,24.021,-0.0375,-0.002778,0.037603
2.5225,119,135,0,0,0,0,0,1,614,363,70.841,4.472,2.916,-26,3,26.173,-0.040625,0.008333,0.041471
2.5742,119,135,0,0,0,0,0,1,618,366,64.588,5,3.541,-22,6,22.804,-0.034375,0.016667,0.038202
2.6252,119,135,0,0,0,0,0,1,619,365,70.969,1.414,2.903,-21,5,21.587,-0.032813,0.013889,0.035631
2.6753,119,135,0,0,0,0,0,1,633,367,71.935,14.142,6.275,-7,7,9.899,-0.010937,0.019444,0.02231
2.7233,119,135,0,0,0,0,0,1,644,365,69.352,11.18,7.746,4,5,6.403,0.00625,0.013889,0.01523
2.7768,119,135,0,0,0,0,0,1,651,368,22.927,7.616,7.707,11,8,13.601,0.017188,0.022222,0.028093
2.8263,118.203,135,-16.093,0,16.093,-324.987,0,1,674,366,20,23.087,12.321,34,6,34.525,0.053125,0.016667,0.055678
2.8759,117.203,135,-20.185,0,20.185,-82.611,0,1,684,366,20,10,11.625,44,6,44.407,0.06875,0.016667,0.070741
2.9291,116.203,135,-18.777,0,18.777,26.439,0,1,705,357,20,22.847,14.992,65,-3,65.069,0.101562,-0.008333,0.101904
2.9819,115.203,135,-18.951,0,18.951,-3.285,0,1,710,366,20,10.296,13.583,70,6,70.257,0.109375,0.016667,0.110638
3.0349,114.203,135,-18.864,0,18.864,1.643,0,1,691,367,20,19.026,15.216,51,7,51.478,0.079687,0.019444,0.082026
3.0894,114.203,135,-16.847,0,0,345.88,0,1,642,372,20,49.254,25.427,2,12,12.166,0.003125,0.033333,0.033479
