t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy
0.0012,135.000,135.000,0.000,0.000,0.000,0.000,0,,
2.9069,135.000,135.000,0.000,0.000,0.000,0.000,0,,
2.9548,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.0109,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.0664,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.1128,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.1663,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.2133,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.2673,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.3143,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.3643,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.4185,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.4642,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.5125,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.5634,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.6120,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.6632,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.7116,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.7629,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.8115,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.8610,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.9075,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.9534,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.9980,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.0477,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.0961,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.1458,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.1919,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.2355,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.2803,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.3300,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.3763,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.4232,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.4645,135.000,135.000,0.000,0.000,0.000,0.000,0,,
