frame_idx,t_frame_start,t_after_inference,t_first_command,human,bbox_cx,bbox_cy,diff_x,diff_y,pan_step_deg,inference_latency_ms,command_latency_ms,total_software_latency_ms
1,1542.74369,1546.154385,1546.155172,1,284,405,-356,45,-1.2,3410.695,0.787,3411.482
2,1546.264357,1546.297722,1546.298921,1,281,400,-359,40,-1.2,33.365,1.2,34.565
3,1546.323597,1546.362614,1546.363873,1,281,399,-359,39,-1.2,39.017,1.259,40.276
4,1546.374284,1546.4077,1546.409469,1,280,400,-360,40,-1.2,33.416,1.769,35.186
5,1546.436427,1546.474545,1546.475815,1,281,400,-359,40,-1.2,38.117,1.27,39.388
6,1546.485184,1546.531199,1546.532476,1,280,400,-360,40,-1.2,46.015,1.277,47.293
7,1546.551272,1546.601364,1546.602965,1,280,400,-360,40,-1.2,50.092,1.601,51.692
8,1546.61385,1546.649421,1546.65078,1,281,400,-359,40,-1.2,35.571,1.359,36.93
9,1546.667468,1546.695827,1546.697086,1,280,401,-360,41,-1.2,28.359,1.259,29.618
10,1546.707802,1546.736444,1546.737737,1,281,402,-359,42,-1.2,28.642,1.293,29.935
11,1546.754875,1546.78363,1546.784893,1,280,401,-360,41,-1.2,28.755,1.262,30.018
12,1546.794157,1546.820717,1546.821957,1,281,401,-359,41,-1.2,26.56,1.24,27.8
13,1546.8385,1546.865572,1546.866748,1,280,400,-360,40,-1.2,27.072,1.176,28.248
14,1546.877597,1546.905084,1546.906257,1,280,400,-360,40,-1.2,27.487,1.173,28.66
15,1546.923213,1546.949574,1546.950862,1,280,401,-360,41,-1.2,26.361,1.288,27.649
16,1546.959668,1546.989196,1546.990447,1,280,400,-360,40,-1.2,29.528,1.251,30.779
17,1547.009144,1547.036922,1547.038162,1,280,400,-360,40,-1.2,27.778,1.24,29.018
18,1547.04735,1547.073765,1547.074929,1,280,401,-360,41,-1.2,26.415,1.164,27.579
19,1547.091455,1547.117286,1547.118481,1,280,400,-360,40,-1.2,25.831,1.195,27.026
20,1547.129441,1547.155555,1547.156843,1,280,401,-360,41,-1.2,26.115,1.288,27.402
21,1547.173911,1547.208027,1547.209219,1,280,401,-360,41,-1.2,34.116,1.192,35.308
22,1547.21808,1547.245556,1547.246772,1,280,401,-360,41,-1.2,27.476,1.216,28.692
23,1547.265331,1547.293838,1547.295118,1,280,401,-360,41,-1.2,28.507,1.28,29.787
