t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy
0.0016,135,135,0,0,0,0,0,,
2.9413,135,135,0,0,0,0,0,,
2.987,135,135,0,0,0,0,1,641,349
3.2348,135,135,0,0,0,0,0,,
3.2875,135,135,0,0,0,0,0,,
3.3435,135,135,0,0,0,0,1,641,349
3.3948,135,135,0,0,0,0,0,,
3.4427,135,135,0,0,0,0,0,,
3.4915,135,135,0,0,0,0,1,642,349
3.5445,135,135,0,0,0,0,0,,
3.591,135,135,0,0,0,0,0,,
3.6395,135,135,0,0,0,0,0,,
3.6887,135,135,0,0,0,0,0,,
3.7367,135,135,0,0,0,0,1,642,350
3.7866,135,135,0,0,0,0,1,642,350
3.8382,135,135,0,0,0,0,0,,
3.8859,135,135,0,0,0,0,1,641,349
3.9394,135,135,0,0,0,0,1,641,349
3.9931,135,135,0,0,0,0,0,,
4.0402,135,135,0,0,0,0,1,642,350
4.0956,135,135,0,0,0,0,0,,
4.1411,135,135,0,0,0,0,0,,
4.1893,135,135,0,0,0,0,0,,
4.2386,135,135,0,0,0,0,0,,
4.2884,135,135,0,0,0,0,0,,
4.338,135,135,0,0,0,0,0,,
4.3873,135,135,0,0,0,0,0,,
4.4364,135,135,0,0,0,0,0,,
4.4835,135,135,0,0,0,0,0,,
4.5272,135,135,0,0,0,0,0,,
4.5732,135,135,0,0,0,0,0,,
4.6211,135,135,0,0,0,0,1,642,350
4.6716,135,135,0,0,0,0,0,,
4.7187,135,135,0,0,0,0,1,641,350
4.7689,135,135,0,0,0,0,0,,
4.809,135,135,0,0,0,0,0,,
4.8558,135,135,0,0,0,0,0,,
4.9018,135,135,0,0,0,0,0,,
4.9428,135,135,0,0,0,0,0,,
4.9901,135,135,0,0,0,0,0,,
5.0364,135,135,0,0,0,0,0,,
5.0785,135,135,0,0,0,0,0,,
5.1236,135,135,0,0,0,0,0,,
5.17,135,135,0,0,0,0,0,,
5.2157,135,135,0,0,0,0,0,,
5.2589,135,135,0,0,0,0,0,,
5.3067,135,135,0,0,0,0,0,,
5.3528,135,135,0,0,0,0,0,,
5.3941,135,135,0,0,0,0,0,,
5.4372,135,135,0,0,0,0,0,,
5.4786,135,135,0,0,0,0,0,,
5.5235,135,135,0,0,0,0,0,,
5.5694,135,135,0,0,0,0,0,,
5.6107,135,135,0,0,0,0,0,,
5.6572,135,135,0,0,0,0,0,,
5.7029,135,135,0,0,0,0,0,,
5.744,135,135,0,0,0,0,0,,
5.7896,135,135,0,0,0,0,0,,
5.8354,135,135,0,0,0,0,0,,
5.8772,135,135,0,0,0,0,0,,
5.9221,135,135,0,0,0,0,0,,
5.9691,135,135,0,0,0,0,0,,
6.0104,135,135,0,0,0,0,0,,
6.0546,135,135,0,0,0,0,0,,
6.1018,135,135,0,0,0,0,0,,
6.1436,135,135,0,0,0,0,0,,
6.1913,135,135,0,0,0,0,0,,
6.2378,135,135,0,0,0,0,0,,
6.2788,135,135,0,0,0,0,1,642,351
6.3291,135,135,0,0,0,0,0,,
6.3747,135,135,0,0,0,0,1,642,351
6.4263,135,135,0,0,0,0,1,641,351
6.4783,135,135,0,0,0,0,1,641,352
6.5293,135,135,0,0,0,0,1,641,352
6.5791,135,135,0,0,0,0,1,641,352
6.6285,135,135,0,0,0,0,1,642,352
6.6781,133.8,136.2,-24.222,24.222,-488.936,488.936,1,1041,571
6.7296,132.6,137.4,-23.28,23.28,18.289,-18.289,1,1026,570
6.7804,131.4,138.6,-23.629,23.629,-6.871,6.871,1,1015,568
6.8303,131.4,138.6,0,0,473.914,-473.914,1,641,353
6.8789,130.2,139.8,-24.689,24.689,-507.949,507.949,1,977,567
6.9279,129,141,-24.459,24.459,4.69,-4.69,1,912,566
6.9803,127.8,142.2,-22.942,22.942,29.002,-29.002,1,889,562
7.0299,126.6,143.4,-24.183,24.183,-25.02,25.02,1,852,556
7.0803,125.4,144.6,-23.812,23.812,7.374,-7.374,1,822,555
7.13,124.2,145.8,-24.105,24.105,-5.901,5.901,1,770,549
7.1804,123,147,-23.822,23.822,5.624,-5.624,1,730,549
7.2299,123,148.2,0,24.238,481.174,8.407,1,697,542
7.2798,123,149.4,0,24.042,0,-3.927,1,693,536
7.3293,123,150.6,0,24.248,0,4.152,1,677,534
7.3792,123,151.8,0,24.058,0,-3.799,1,665,527
7.4297,123,153,0,23.779,0,-5.527,1,663,520
7.4796,123,154.2,0,24.045,0,5.331,1,667,517
7.5281,123,155.4,0,24.72,0,13.901,1,671,505
7.5792,123,156.6,0,23.474,0,-24.388,1,669,502
7.629,123,157.8,0,24.103,0,12.635,1,666,487
7.6796,123,159,0,23.718,0,-7.603,1,668,484
7.7276,123,160.2,0,25.025,0,27.253,1,671,476
7.7799,123,161.4,0,22.943,0,-39.798,1,669,474
7.8293,123,162.6,0,24.275,0,26.949,1,669,464
7.8806,123,163.8,0,23.395,0,-17.169,1,669,451
7.93,123,163.8,0,0,0,-473.57,1,672,438
7.9798,123,163.8,0,0,0,0,1,670,429
8.0297,123,163.8,0,0,0,0,1,672,419
8.0803,123,163.8,0,0,0,0,1,671,412
8.1302,123,163.8,0,0,0,0,1,670,405
8.1795,123,163.8,0,0,0,0,1,666,400
8.2293,123,163.8,0,0,0,0,1,666,389
8.2766,123,163.8,0,0,0,0,1,664,390
8.329,123,163.8,0,0,0,0,1,662,394
8.3793,123,163.8,0,0,0,0,1,661,393
8.4277,123,163.8,0,0,0,0,1,654,394
8.4796,123,163.8,0,0,0,0,1,653,393
8.5268,123,163.8,0,0,0,0,1,654,390
8.5771,123,163.8,0,0,0,0,1,654,390
8.6271,123,163.8,0,0,0,0,1,655,392
8.6771,123,163.8,0,0,0,0,1,655,394
8.7273,123,163.8,0,0,0,0,1,657,396
8.7772,123,163.8,0,0,0,0,1,656,395
8.8269,123,163.8,0,0,0,0,1,655,391
8.8769,123,163.8,0,0,0,0,1,654,389
8.9273,123,163.8,0,0,0,0,1,656,390
8.98,123,163.8,0,0,0,0,1,661,391
9.0285,123,163.8,0,0,0,0,1,669,395
9.0797,123,163.8,0,0,0,0,1,676,393
9.1283,123,163.8,0,0,0,0,1,689,390
9.179,123,163.8,0,0,0,0,1,693,388
9.2275,123,163.8,0,0,0,0,1,699,388
9.2794,123,163.8,0,0,0,0,1,707,392
9.3279,123,163.8,0,0,0,0,1,716,391
