t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy
0.0025,135.000,135.000,0.000,0.000,0.000,0.000,0,,
2.8545,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.0625,135.000,135.000,0.000,0.000,0.000,0.000,1,642,350
3.1244,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.1748,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.2353,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.2915,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.3486,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.3951,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.4465,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.4987,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.5513,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.6000,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.6539,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.7011,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.7525,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.8043,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.8539,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
3.9037,135.000,135.000,0.000,0.000,0.000,0.000,1,642,350
3.9532,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.0031,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.0535,135.000,135.000,0.000,0.000,0.000,0.000,1,642,350
4.1026,135.000,135.000,0.000,0.000,0.000,0.000,1,642,350
4.1535,135.000,135.000,0.000,0.000,0.000,0.000,1,642,350
4.2021,135.000,135.000,0.000,0.000,0.000,0.000,1,643,350
4.2532,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.3024,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.3506,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.4006,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.4506,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.5052,135.000,135.000,0.000,0.000,0.000,0.000,1,642,350
4.5517,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.5988,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.6507,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.7027,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.7514,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.8013,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.8531,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.9041,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
4.9543,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
5.0043,135.000,135.000,0.000,0.000,0.000,0.000,1,642,350
5.0548,135.000,135.000,0.000,0.000,0.000,0.000,1,642,349
