t,pan_deg,tilt_deg,pan_vel_deg_s,tilt_vel_deg_s,pan_acc_deg_s2,tilt_acc_deg_s2,human,cx,cy
0.0025,135.000,135.000,0.000,0.000,0.000,0.000,0,,
2.9174,135.000,135.000,0.000,0.000,0.000,0.000,0,,
2.9647,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.0169,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.0654,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.1278,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.1744,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.2364,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.2928,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.3329,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.3772,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.4257,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.4675,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.5106,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.5595,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.6001,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.6478,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.6964,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.7428,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.7844,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.8343,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.8816,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.9281,135.000,135.000,0.000,0.000,0.000,0.000,0,,
3.9744,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.0159,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.0670,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.1126,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.1586,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.1997,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.2492,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.2956,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.3419,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.3840,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.4310,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.4773,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.5253,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.5668,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.6139,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.6618,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.7082,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.7498,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.8000,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.8482,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.8943,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.9386,135.000,135.000,0.000,0.000,0.000,0.000,0,,
4.9823,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.0290,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.0778,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.1181,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.1653,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.2134,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.2620,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.3094,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.3568,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.4018,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.4499,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.5005,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.5827,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.6313,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.6776,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.7270,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.7684,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.8155,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.8623,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.9086,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.9518,135.000,135.000,0.000,0.000,0.000,0.000,0,,
5.9986,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.0446,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.0863,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.1354,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.1827,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.2301,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.2767,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.3188,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.3631,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.4103,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.4521,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.4992,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.5466,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.5940,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.6405,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.6842,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.7300,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.7761,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.8195,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.8664,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.9139,135.000,135.000,0.000,0.000,0.000,0.000,0,,
6.9601,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.0017,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.0460,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.0958,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.1377,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.1824,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.2286,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.2686,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.3155,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.3614,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.4031,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.4502,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.4961,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.5397,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.5841,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.6301,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.6701,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.7161,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.7623,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.8044,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.8511,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.8998,135.000,135.000,0.000,0.000,0.000,0.000,0,,
7.9458,135.000,135.000,0.000,0.000,0.000,0.000,0,,
